Code,Area_name,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
E09000013,Hammersmith and Fulham,10601.85185,2020,2020/12/1,F,L,572500,SW62QT,E09000013,{BA558B32-D8D3-76EF-E053-6B04A8C0B4B7},17171052,54,4,12,68,77,England and Wales: 1900-1929
E09000028,Southwark,10610.38961,2020,2020/12/4,T,F,817000,SE229AD,E09000028,{BA558B32-BEF1-76EF-E053-6B04A8C0B4B7},18536505,77,5,12,63,82,England and Wales: 1900-1929
E09000032,Wandsworth,10612.2449,2020,2020/12/11,F,L,520000,SW118QQ,E09000032,{BC8936BC-04AB-0E2C-E053-6C04A8C0DBF4},18945975,49,2,11,73,85,England and Wales: 2007 onwards
E09000019,Islington,10619.46903,2020,2020/12/14,T,F,1200000,N70RX,E09000019,{BA558B32-D76A-76EF-E053-6B04A8C0B4B7},17680383,113,6,12,52,71,England and Wales: 1900-1929
E09000018,Hounslow,10619.46903,2020,2020/12/10,S,F,2400000,W43QG,E09000018,{BC8936BB-C34C-0E2C-E053-6C04A8C0DBF4},17588209,226,8,12,58,81,England and Wales: 1900-1929
E09000028,Southwark,10636.36364,2020,2020/12/17,F,L,585000,SE249PT,E09000028,{BA558B33-24BA-76EF-E053-6B04A8C0B4B7},18476217,55,3,11,59,79,England and Wales: 1930-1949
E09000022,Lambeth,10637.26443,2020,2020/12/18,T,F,1095000,SW120HD,E09000022,{BC8936BB-E6A2-0E2C-E053-6C04A8C0DBF4},17973242,102.94,5,11,56,61,England and Wales: 1900-1929
E09000033,Westminster,10639.65341,2020,2020/12/2,T,F,835000,W104AH,E09000033,{BC8936BB-C71F-0E2C-E053-6C04A8C0DBF4},19003140,78.48,3,11,60,64,England and Wales: before 1900
E09000028,Southwark,10642.85714,2020,2020/12/7,T,F,1490000,SE220DN,E09000028,{BA558B32-BE81-76EF-E053-6B04A8C0B4B7},18501517,140,7,11,51,75,England and Wales: before 1900
E09000032,Wandsworth,10650.88757,2020,2020/12/4,T,F,1800000,SW181AB,E09000032,{BA558B33-2459-76EF-E053-6B04A8C0B4B7},18901714,169,6,12,71,82,England and Wales: 1900-1929
E09000017,Hillingdon,10653.06122,2020,2020/12/21,S,F,522000,HA52JS,E09000017,{BC8936BB-C488-0E2C-E053-6C04A8C0DBF4},17515540,49,4,11,58,90,England and Wales: 1930-1949
E09000032,Wandsworth,10663.82298,2020,2020/12/7,F,L,800000,SW152QS,E09000032,{BC8936BC-04B5-0E2C-E053-6C04A8C0DBF4},18861463,75.02,3,11,77,80,England and Wales: 1900-1929
E09000023,Lewisham,10666.66667,2020,2020/12/22,F,L,640000,SE145SQ,E09000023,{BC8936BC-05E2-0E2C-E053-6C04A8C0DBF4},18009381,60,3,11,64,78,England and Wales: 1900-1929
E09000013,Hammersmith and Fulham,10675.67568,2020,2020/12/11,F,L,790000,SW64XD,E09000013,{BA558B32-276C-76EF-E053-6B04A8C0B4B7},17192627,74,4,11,62,64,England and Wales: 1900-1929
E09000027,Richmond upon Thames,10677.9661,2020,2020/12/9,F,L,630000,TW92JB,E09000027,{BA558B33-2596-76EF-E053-6B04A8C0B4B7},18397600,59,3,12,64,73,England and Wales: before 1900
E09000032,Wandsworth,10684.93151,2020,2020/12/11,T,F,780000,SW115LE,E09000032,{BA558B33-2934-76EF-E053-6B04A8C0B4B7},18836303,73,4,11,51,79,England and Wales: before 1900
E09000027,Richmond upon Thames,10685.43133,2020,2020/12/23,D,F,2050000,TW11RX,E09000027,{BC8936BB-C31A-0E2C-E053-6C04A8C0DBF4},18358085,191.85,9,11,61,61,England and Wales: 1900-1929
E09000022,Lambeth,10688.4058,2020,2020/12/4,T,F,1475000,SW40LP,E09000022,{BA558B32-FF3D-76EF-E053-6B04A8C0B4B7},17934621,138,5,11,50,73,England and Wales: 1900-1929
E09000024,Merton,10700.38911,2020,2020/12/1,T,F,2750000,SW194NN,E09000024,{BA558B33-0053-76EF-E053-6B04A8C0B4B7},18149179,257,7,12,39,69,England and Wales: before 1900
E09000019,Islington,10708.66142,2020,2020/12/15,T,F,1360000,N42ED,E09000019,{BC8936BB-B3AB-0E2C-E053-6C04A8C0DBF4},17686217,127,7,11,58,78,England and Wales: before 1900
E09000022,Lambeth,10713.39286,2020,2020/12/18,F,L,599950,SW82XT,E09000022,{BC8936BC-06B2-0E2C-E053-6C04A8C0DBF4},17963962,56,2,11,68,79,England and Wales: 1930-1949
E09000032,Wandsworth,10714.28571,2020,2020/12/11,T,F,1200000,SW185AG,E09000032,{BA558B32-FE0E-76EF-E053-6B04A8C0B4B7},18932834,112,5,12,75,86,England and Wales: 1900-1929
E09000028,Southwark,10714.28571,2020,2020/12/4,F,L,825000,SE164TN,E09000028,{BC8936BC-0364-0E2C-E053-6C04A8C0DBF4},18429060,77,3,11,81,81,England and Wales: 1983-1990
E09000008,Croydon,10724.63768,2020,2020/12/11,T,F,740000,SE192PY,E09000008,{BC8936BB-F7CF-0E2C-E053-6C04A8C0DBF4},16691230,69,5,11,56,79,England and Wales: 1950-1966
E09000022,Lambeth,10731.70732,2020,2020/12/8,T,F,2200000,SW81LH,E09000022,{BA558B32-19B3-76EF-E053-6B04A8C0B4B7},17909672,205,8,11,58,81,England and Wales: 1900-1929
E09000027,Richmond upon Thames,10743.46405,2020,2020/12/9,T,F,657500,TW119DL,E09000027,{BC8936BB-C35C-0E2C-E053-6C04A8C0DBF4},18398118,61.2,3,11,65,66,England and Wales: 1900-1929
E09000032,Wandsworth,10743.80165,2020,2020/12/16,T,F,1300000,SW128BG,E09000032,{BA558B32-FDE2-76EF-E053-6B04A8C0B4B7},18895481,121,5,12,66,78,England and Wales: 1900-1929
E09000022,Lambeth,10760.86957,2020,2020/12/10,F,L,495000,SW99JB,E09000022,{BC8936BC-061F-0E2C-E053-6C04A8C0DBF4},17891076,46,3,11,77,77,England and Wales: 1900-1929
E09000007,Camden,10769.23077,2020,2020/12/4,F,L,560000,WC1V6DR,E09000007,{BA558B32-D98F-76EF-E053-6B04A8C0B4B7},16540108,52,2,11,77,86,England and Wales: 1996-2002
E09000013,Hammersmith and Fulham,10769.23077,2020,2020/12/3,T,F,1400000,SW65BQ,E09000013,{BA558B32-19EB-76EF-E053-6B04A8C0B4B7},17218606,130,5,12,70,82,England and Wales: 1900-1929
E09000030,Tower Hamlets,10777.77778,2020,2020/12/21,F,L,485000,E35RF,E09000030,{BC8936BB-3176-0E2C-E053-6C04A8C0DBF4},18641332,45,2,12,73,78,England and Wales: 1930-1949
E09000019,Islington,10783.81148,2020,2020/12/17,F,L,631500,N78PL,E09000019,{BC8936BB-C86D-0E2C-E053-6C04A8C0DBF4},17634652,58.56,3,12,61,72,
E09000019,Islington,10784.13453,2020,2020/12/10,F,L,590000,N51HJ,E09000019,{BC8936BB-C8B9-0E2C-E053-6C04A8C0DBF4},17676565,54.71,2,11,65,72,England and Wales: before 1900
E09000027,Richmond upon Thames,10791.36691,2020,2020/12/4,T,F,900000,SW148JP,E09000027,{BA558B32-FDEF-76EF-E053-6B04A8C0B4B7},18374495,83.4,4,12,55,65,England and Wales: 1930-1949
E09000003,Barnet,10792.07921,2020,2020/12/11,T,F,1090000,N29BU,E09000003,{BA558B32-D844-76EF-E053-6B04A8C0B4B7},16178699,101,6,11,52,81,England and Wales: before 1900
E09000032,Wandsworth,10792.45283,2020,2020/12/15,T,F,572000,SW177UB,E09000032,{BC8936BB-E66E-0E2C-E053-6C04A8C0DBF4},18893165,53,3,12,71,89,England and Wales: 1983-1990
E09000007,Camden,10813.25301,2020,2020/12/8,F,L,897500,NW17RT,E09000007,{BC8936BB-C810-0E2C-E053-6C04A8C0DBF4},16561452,83,3,11,68,79,England and Wales: before 1900
E09000032,Wandsworth,10820.89552,2020,2020/12/10,F,L,725000,SW111PG,E09000032,{BA558B33-249F-76EF-E053-6B04A8C0B4B7},18859205,67,3,11,65,74,England and Wales: before 1900
E09000019,Islington,10824.91489,2020,2020/12/3,F,L,508771,N12EJ,E09000019,{BA558B32-1C18-76EF-E053-6B04A8C0B4B7},17643846,47,3,12,68,79,England and Wales: 1930-1949
E09000013,Hammersmith and Fulham,10833.33333,2020,2020/12/7,F,L,975000,SW61HJ,E09000013,{BA558B32-2724-76EF-E053-6B04A8C0B4B7},17195082,90,3,12,65,80,England and Wales: 1900-1929
E09000027,Richmond upon Thames,10836.57588,2020,2020/12/7,D,F,2785000,SW130LT,E09000027,{BC8936BB-E6FE-0E2C-E053-6C04A8C0DBF4},18352782,257,7,11,78,83,England and Wales: 2003-2006
E09000013,Hammersmith and Fulham,10856.16438,2020,2020/12/22,T,F,792500,SW65ED,E09000013,{BC8936BB-B3B9-0E2C-E053-6C04A8C0DBF4},17148737,73,3,11,59,81,England and Wales: before 1900
E09000003,Barnet,10860.65574,2020,2020/12/11,D,F,2650000,N20QT,E09000003,{BC8936BB-30C5-0E2C-E053-6C04A8C0DBF4},16207597,244,8,11,52,80,England and Wales: 1930-1949
E09000032,Wandsworth,10869.56522,2020,2020/12/21,S,F,2000000,SW112RF,E09000032,{BC8936BB-B3EA-0E2C-E053-6C04A8C0DBF4},18897186,184,6,11,74,82,England and Wales: before 1900
E09000022,Lambeth,10897.4359,2020,2020/12/14,T,F,1700000,SW49HR,E09000022,{BA558B32-FD81-76EF-E053-6B04A8C0B4B7},17983212,156,6,11,57,84,England and Wales: before 1900
E09000032,Wandsworth,10897.4359,2020,2020/12/2,T,F,425000,SW177UH,E09000032,{BA558B32-FF8F-76EF-E053-6B04A8C0B4B7},18880835,39,2,11,51,96,England and Wales: 1976-1982
E09000032,Wandsworth,10915.95535,2020,2020/12/18,F,L,665000,SW115PF,E09000032,{BC8936BC-0666-0E2C-E053-6C04A8C0DBF4},18900065,60.92,3,11,52,61,England and Wales: 1900-1929
E09000019,Islington,10918.36735,2020,2020/12/4,T,L,535000,N52SL,E09000019,{BC8936BB-C8FB-0E2C-E053-6C04A8C0DBF4},17717467,49,2,11,68,78,England and Wales: before 1900
E09000032,Wandsworth,10927.15232,2020,2020/12/4,T,F,1650000,SW128LE,E09000032,{BA558B32-BEBC-76EF-E053-6B04A8C0B4B7},18843019,151,8,11,49,83,England and Wales: before 1900
E09000022,Lambeth,10927.5512,2020,2020/12/24,F,L,635000,SW25AQ,E09000022,{BC8936BC-05DA-0E2C-E053-6C04A8C0DBF4},17932179,58.11,3,12,73,75,England and Wales: 1900-1929
E09000022,Lambeth,10932.20339,2020,2020/12/22,F,L,645000,SW120DN,E09000022,{BA558B33-256E-76EF-E053-6B04A8C0B4B7},17978982,59,3,11,66,78,England and Wales: 1900-1929
E09000028,Southwark,10933.14763,2020,2020/12/18,T,F,785000,SE153AN,E09000028,{BC8936BB-EA75-0E2C-E053-6C04A8C0DBF4},18523221,71.8,4,11,46,47,England and Wales: 1900-1929
E09000013,Hammersmith and Fulham,10942.02899,2020,2020/12/4,F,L,755000,SW62JR,E09000013,{BA558B32-26AD-76EF-E053-6B04A8C0B4B7},17164124,69,,11,83,83,NO DATA!
E09000007,Camden,10943.82022,2020,2020/12/3,F,L,974000,NW33HX,E09000007,{BC8936BB-C894-0E2C-E053-6C04A8C0DBF4},16542916,89,4,11,58,73,England and Wales: 1930-1949
E09000033,Westminster,10944.05237,2020,2020/12/3,F,L,1070000,NW16JX,E09000033,{BC8936BB-C8B6-0E2C-E053-6C04A8C0DBF4},18974757,97.77,4,11,82,85,England and Wales: 1996-2002
E09000033,Westminster,10952.38095,2020,2020/12/2,F,L,460000,W22QG,E09000033,{BA558B32-D99D-76EF-E053-6B04A8C0B4B7},18973966,42,2,11,72,80,England and Wales: 1930-1949
E09000032,Wandsworth,10972.22222,2020,2020/12/18,T,F,1975000,SW116HX,E09000032,{BA558B33-2589-76EF-E053-6B04A8C0B4B7},18876843,180,7,12,62,77,England and Wales: 1900-1929
